STATION;NAME;DATE;PRCP;TMAX;TMIN;TOBS
USW00023272;SAN FRANCISCO, CA US;2018-01-01;0.10;56;46;51
USW00023272;SAN FRANCISCO, CA US;2018-01-02;0.24;55;45;50
USW00023272;SAN FRANCISCO, CA US;2018-01-03;0.03;58;47;52
USW00023272;SAN FRANCISCO, CA US;2018-01-04;0.00;60;48;54
USW00023272;SAN FRANCISCO, CA US;2018-01-05;0.00;62;49;56
USW00023272;SAN FRANCISCO, CA US;2018-01-06;0.00;61;50;55
USW00023272;SAN FRANCISCO, CA US;2018-01-07;0.18;57;48;52
USW00023272;SAN FRANCISCO, CA US;2018-01-08;0.42;54;45;49
USW00023272;SAN FRANCISCO, CA US;2018-01-09;0.31;55;46;50
USW00023272;SAN FRANCISCO, CA US;2018-01-10;0.08;57;47;52
USW00023272;SAN FRANCISCO, CA US;2018-01-11;0.00;59;48;53
USW00023272;SAN FRANCISCO, CA US;2018-01-12;0.00;60;48;54
USW00023272;SAN FRANCISCO, CA US;2018-01-13;0.00;61;49;55
USW00023272;SAN FRANCISCO, CA US;2018-01-14;0.00;62;49;56
USW00023272;SAN FRANCISCO, CA US;2018-01-15;0.00;63;50;57
USW00023272;SAN FRANCISCO, CA US;2018-01-16;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-01-17;0.02;60;50;55
USW00023272;SAN FRANCISCO, CA US;2018-01-18;0.15;58;49;53
USW00023272;SAN FRANCISCO, CA US;2018-01-19;0.07;59;49;54
USW00023272;SAN FRANCISCO, CA US;2018-01-20;0.00;61;50;55
USW00023272;SAN FRANCISCO, CA US;2018-01-21;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-01-22;0.00;63;52;57
USW00023272;SAN FRANCISCO, CA US;2018-01-23;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-01-24;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-01-25;0.00;64;53;58
USW00023272;SAN FRANCISCO, CA US;2018-01-26;0.00;63;52;57
USW00023272;SAN FRANCISCO, CA US;2018-01-27;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-01-28;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-01-29;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-01-30;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-01-31;0.00;66;54;60
USW00023272;SAN FRANCISCO, CA US;2018-02-01;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-02-02;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-02-03;0.12;60;50;55
USW00023272;SAN FRANCISCO, CA US;2018-02-04;0.34;57;48;52
USW00023272;SAN FRANCISCO, CA US;2018-02-05;0.28;58;48;53
USW00023272;SAN FRANCISCO, CA US;2018-02-06;0.09;60;49;54
USW00023272;SAN FRANCISCO, CA US;2018-02-07;0.00;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-02-08;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-02-09;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-02-10;0.00;63;52;57
USW00023272;SAN FRANCISCO, CA US;2018-02-11;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-02-12;0.00;61;50;55
USW00023272;SAN FRANCISCO, CA US;2018-02-13;0.15;59;49;54
USW00023272;SAN FRANCISCO, CA US;2018-02-14;0.42;56;47;51
USW00023272;SAN FRANCISCO, CA US;2018-02-15;0.23;57;47;52
USW00023272;SAN FRANCISCO, CA US;2018-02-16;0.05;59;48;53
USW00023272;SAN FRANCISCO, CA US;2018-02-17;0.00;61;49;55
USW00023272;SAN FRANCISCO, CA US;2018-02-18;0.00;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-02-19;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-02-20;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-02-21;0.00;65;52;59
USW00023272;SAN FRANCISCO, CA US;2018-02-22;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-02-23;0.00;63;50;56
USW00023272;SAN FRANCISCO, CA US;2018-02-24;0.00;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-02-25;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-02-26;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-02-27;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-02-28;0.00;66;54;60
USW00023272;SAN FRANCISCO, CA US;2018-03-01;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-03-02;0.08;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-03-03;0.21;59;49;54
USW00023272;SAN FRANCISCO, CA US;2018-03-04;0.15;60;49;54
USW00023272;SAN FRANCISCO, CA US;2018-03-05;0.03;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-03-06;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-03-07;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-03-08;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-03-09;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-03-10;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-03-11;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-03-12;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-03-13;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-03-14;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-03-15;0.00;63;50;56
USW00023272;SAN FRANCISCO, CA US;2018-03-16;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-03-17;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-03-18;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-03-19;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-03-20;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-03-21;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-03-22;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-03-23;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-03-24;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-03-25;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-03-26;0.12;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-03-27;0.28;59;48;53
USW00023272;SAN FRANCISCO, CA US;2018-03-28;0.15;60;49;54
USW00023272;SAN FRANCISCO, CA US;2018-03-29;0.04;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-03-30;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-03-31;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-04-01;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-04-02;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-04-03;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-04-04;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-04-05;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-04-06;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-04-07;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-04-08;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-04-09;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-04-10;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-04-11;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-04-12;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-04-13;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-04-14;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-04-15;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-04-16;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-04-17;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-04-18;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-04-19;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-04-20;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-04-21;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-04-22;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-04-23;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-04-24;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-04-25;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-04-26;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-04-27;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-04-28;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-04-29;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-04-30;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-05-01;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-05-02;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-05-03;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-05-04;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-05-05;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-05-06;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-05-07;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-05-08;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-05-09;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-05-10;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-05-11;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-05-12;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-05-13;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-05-14;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-05-15;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-05-16;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-05-17;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-05-18;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-05-19;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-05-20;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-05-21;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-05-22;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-05-23;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-05-24;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-05-25;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-05-26;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-05-27;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-05-28;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-05-29;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-05-30;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-05-31;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-06-01;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-06-02;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-06-03;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-06-04;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-06-05;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-06-06;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-06-07;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-06-08;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-06-09;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-06-10;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-06-11;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-06-12;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-06-13;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-06-14;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-06-15;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-06-16;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-06-17;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-06-18;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-06-19;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-06-20;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-06-21;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-06-22;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-06-23;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-06-24;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-06-25;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-06-26;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-06-27;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-06-28;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-06-29;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-06-30;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-07-01;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-07-02;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-07-03;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-07-04;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-07-05;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-07-06;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-07-07;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-07-08;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-07-09;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-07-10;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-07-11;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-07-12;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-07-13;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-07-14;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-07-15;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-07-16;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-07-17;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-07-18;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-07-19;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-07-20;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-07-21;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-07-22;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-07-23;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-07-24;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-07-25;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-07-26;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-07-27;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-07-28;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-07-29;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-07-30;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-07-31;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-08-01;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-08-02;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-08-03;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-08-04;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-08-05;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-08-06;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-08-07;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-08-08;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-08-09;0.00;82;69;75
USW00023272;SAN FRANCISCO, CA US;2018-08-10;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-08-11;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-08-12;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-08-13;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-08-14;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-08-15;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-08-16;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-08-17;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-08-18;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-08-19;0.00;82;69;75
USW00023272;SAN FRANCISCO, CA US;2018-08-20;0.00;83;70;76
USW00023272;SAN FRANCISCO, CA US;2018-08-21;0.00;82;69;75
USW00023272;SAN FRANCISCO, CA US;2018-08-22;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-08-23;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-08-24;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-08-25;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-08-26;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-08-27;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-08-28;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-08-29;0.00;82;69;75
USW00023272;SAN FRANCISCO, CA US;2018-08-30;0.00;83;70;76
USW00023272;SAN FRANCISCO, CA US;2018-08-31;0.00;82;69;75
USW00023272;SAN FRANCISCO, CA US;2018-09-01;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-09-02;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-09-03;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-09-04;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-09-05;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-09-06;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-09-07;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-09-08;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-09-09;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-09-10;0.00;82;69;75
USW00023272;SAN FRANCISCO, CA US;2018-09-11;0.00;81;68;74
USW00023272;SAN FRANCISCO, CA US;2018-09-12;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-09-13;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-09-14;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-09-15;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-09-16;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-09-17;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-09-18;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-09-19;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-09-20;0.00;80;67;73
USW00023272;SAN FRANCISCO, CA US;2018-09-21;0.00;79;66;72
USW00023272;SAN FRANCISCO, CA US;2018-09-22;0.00;78;65;71
USW00023272;SAN FRANCISCO, CA US;2018-09-23;0.00;77;64;70
USW00023272;SAN FRANCISCO, CA US;2018-09-24;0.00;76;63;69
USW00023272;SAN FRANCISCO, CA US;2018-09-25;0.00;75;62;68
USW00023272;SAN FRANCISCO, CA US;2018-09-26;0.00;74;61;67
USW00023272;SAN FRANCISCO, CA US;2018-09-27;0.00;73;60;66
USW00023272;SAN FRANCISCO, CA US;2018-09-28;0.00;72;59;65
USW00023272;SAN FRANCISCO, CA US;2018-09-29;0.00;71;58;64
USW00023272;SAN FRANCISCO, CA US;2018-09-30;0.00;70;57;63
USW00023272;SAN FRANCISCO, CA US;2018-10-01;0.00;69;56;62
USW00023272;SAN FRANCISCO, CA US;2018-10-02;0.00;68;55;61
USW00023272;SAN FRANCISCO, CA US;2018-10-03;0.00;67;54;60
USW00023272;SAN FRANCISCO, CA US;2018-10-04;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-10-05;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-10-06;0.12;63;50;56
USW00023272;SAN FRANCISCO, CA US;2018-10-07;0.28;61;48;54
USW00023272;SAN FRANCISCO, CA US;2018-10-08;0.15;62;49;55
USW00023272;SAN FRANCISCO, CA US;2018-10-09;0.05;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-10-10;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-10-11;0.00;66;53;59
USW00023272;SAN FRANCISCO, CA US;2018-10-12;0.00;65;52;58
USW00023272;SAN FRANCISCO, CA US;2018-10-13;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-10-14;0.00;63;50;56
USW00023272;SAN FRANCISCO, CA US;2018-10-15;0.00;62;49;55
USW00023272;SAN FRANCISCO, CA US;2018-10-16;0.00;61;48;54
USW00023272;SAN FRANCISCO, CA US;2018-10-17;0.00;60;47;53
USW00023272;SAN FRANCISCO, CA US;2018-10-18;0.00;59;46;52
USW00023272;SAN FRANCISCO, CA US;2018-10-19;0.00;60;47;53
USW00023272;SAN FRANCISCO, CA US;2018-10-20;0.00;61;48;54
USW00023272;SAN FRANCISCO, CA US;2018-10-21;0.00;62;49;55
USW00023272;SAN FRANCISCO, CA US;2018-10-22;0.00;63;50;56
USW00023272;SAN FRANCISCO, CA US;2018-10-23;0.00;64;51;57
USW00023272;SAN FRANCISCO, CA US;2018-10-24;0.00;63;50;56
USW00023272;SAN FRANCISCO, CA US;2018-10-25;0.00;62;49;55
USW00023272;SAN FRANCISCO, CA US;2018-10-26;0.00;61;48;54
USW00023272;SAN FRANCISCO, CA US;2018-10-27;0.00;60;47;53
USW00023272;SAN FRANCISCO, CA US;2018-10-28;0.00;59;46;52
USW00023272;SAN FRANCISCO, CA US;2018-10-29;0.00;58;45;51
USW00023272;SAN FRANCISCO, CA US;2018-10-30;0.00;57;44;50
USW00023272;SAN FRANCISCO, CA US;2018-10-31;0.00;56;43;49
USW00023272;SAN FRANCISCO, CA US;2018-11-01;0.18;55;44;49
USW00023272;SAN FRANCISCO, CA US;2018-11-02;0.31;54;43;48
USW00023272;SAN FRANCISCO, CA US;2018-11-03;0.12;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-11-04;0.04;57;45;51
USW00023272;SAN FRANCISCO, CA US;2018-11-05;0.00;58;46;52
USW00023272;SAN FRANCISCO, CA US;2018-11-06;0.00;59;47;53
USW00023272;SAN FRANCISCO, CA US;2018-11-07;0.00;60;48;54
USW00023272;SAN FRANCISCO, CA US;2018-11-08;0.00;61;49;55
USW00023272;SAN FRANCISCO, CA US;2018-11-09;0.00;60;48;54
USW00023272;SAN FRANCISCO, CA US;2018-11-10;0.00;59;47;53
USW00023272;SAN FRANCISCO, CA US;2018-11-11;0.00;58;46;52
USW00023272;SAN FRANCISCO, CA US;2018-11-12;0.00;57;45;51
USW00023272;SAN FRANCISCO, CA US;2018-11-13;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-11-14;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-11-15;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-11-16;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-11-17;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-11-18;0.00;57;45;51
USW00023272;SAN FRANCISCO, CA US;2018-11-19;0.00;58;46;52
USW00023272;SAN FRANCISCO, CA US;2018-11-20;0.00;59;47;53
USW00023272;SAN FRANCISCO, CA US;2018-11-21;0.00;58;46;52
USW00023272;SAN FRANCISCO, CA US;2018-11-22;0.00;57;45;51
USW00023272;SAN FRANCISCO, CA US;2018-11-23;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-11-24;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-11-25;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-11-26;0.25;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-11-27;0.42;52;40;46
USW00023272;SAN FRANCISCO, CA US;2018-11-28;0.18;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-11-29;0.07;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-11-30;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-12-01;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-02;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-03;0.00;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-04;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-05;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-06;0.34;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-07;0.28;52;40;46
USW00023272;SAN FRANCISCO, CA US;2018-12-08;0.12;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-09;0.05;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-10;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-12-11;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-12;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-13;0.00;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-14;0.00;52;40;46
USW00023272;SAN FRANCISCO, CA US;2018-12-15;0.00;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-16;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-17;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-18;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-12-19;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-20;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-21;0.00;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-22;0.00;52;40;46
USW00023272;SAN FRANCISCO, CA US;2018-12-23;0.18;51;39;45
USW00023272;SAN FRANCISCO, CA US;2018-12-24;0.31;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-25;0.15;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-26;0.06;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-27;0.00;56;44;50
USW00023272;SAN FRANCISCO, CA US;2018-12-28;0.00;55;43;49
USW00023272;SAN FRANCISCO, CA US;2018-12-29;0.00;54;42;48
USW00023272;SAN FRANCISCO, CA US;2018-12-30;0.00;53;41;47
USW00023272;SAN FRANCISCO, CA US;2018-12-31;0.00;52;40;46